pwd,"It prints the path of the working directory, starting from the root."
mkdir,"Allows the user to create directories. This command can create multiple directories at once."
cp,"Used to copy a file, group of files, or directory."
scp,"Used to copy file(s) between servers in a secure way."
gcc,"Used to compile mainly C and C++ language. It can also be used to compile Objective C and Objective C++."
kill,"Used to terminate processes manually. It sends a signal to a process which terminates the process."
chmod,"Used to change the access mode of a file."
chown,"Used to change the file owner group."
echo,"Used to display lines of text/strings that are passed as an argument."
find,"Used to find files and directories and perform subsequent operations on them."
ls,"Lists files and directories within the current directory."
rmdir,"Used to remove empty directories from the filesystem."
mv,"Used to move one or more files or directories from one place to another in the file system."
man,"Used to display the user manual of any command that we can rin on the terminal."
make,"Allows you to download the latest version of popular developer tools on your current installation."
top,"Provides a dynamic real-time view of the running system."
cat,"Reads data from a file and gives their content as output. It helps to create, view, and concatenate files."
df,"Used to display information related to file systems about total space and available space."
exit,"Used to exit the shell where it is currently running."
finger,"Is is a user information lookup command which gives details of all the users logged in."
cd,"It is used to change the current working directory."
rm,"Used to remove objects such as files, directories, symbolic links, and so on from the filesystem."
ssh,"Protocol used to securely connect to a remote server/system."
g++,"Used for preprocessing, compilation, assembly, and linking of source code to generate an executable file."
ps,"Used to list the currently running processes and their PIDs along with some other information depending on different options."
who,"Used to get information about currently logged in user on to system."
alias,"Instructs the shell to replace one string with another string while executing the commands."
grep,"Searches a file for a particular pattern of characters, and displays all lines that contain that pattern."
clear,"Used to clear the terminal screen."
free,"Displays the total amount of free space available along with the amount of memory used and swap memory in the system, and also the buffers used by the kernel."
